"id","sequence","name","description",type_tax_use,"price_include","amount","amount_type","tax_group_id","invoice_repartition_line_ids/repartition_type","invoice_repartition_line_ids/account_id","refund_repartition_line_ids/repartition_type","refund_repartition_line_ids/account_id","children_tax_ids","name@tr","description@tr"
"tr_kdv_sale_20_whg_4","110","Tevkifatlı Satış KDV %20 (4/10)","Tevkifatlı Satış KDV %20 (4/10)",sale,,"0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20,tr_kdv_sale_20_wh_4","Tevkifatlı Satış KDV %20 (4/10)","Tevkifatlı Satış KDV %20 (4/10)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
"tr_kdv_sale_20_i_whg_4","120","Tevkifatlı Satış KDV %20 (4/10) (Dahil)","Tevkifatlı Satış KDV %20 (4/10) (Dahil)",sale,"True","0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20_i,tr_kdv_sale_20_i_wh_4","Tevkifatlı Satış KDV %20 (4/10) (Dahil)","Tevkifatlı Satış KDV %20 (4/10) (Dahil)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
"tr_kdv_sale_20_whg_5","110","Tevkifatlı Satış KDV %20 (5/10)","Tevkifatlı Satış KDV %20 (5/10)",sale,,"0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20,tr_kdv_sale_20_wh_5","Tevkifatlı Satış KDV %20 (5/10)","Tevkifatlı Satış KDV %20 (5/10)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
"tr_kdv_sale_20_i_whg_5","120","Tevkifatlı Satış KDV %20 (5/10) (Dahil)","Tevkifatlı Satış KDV %20 (5/10) (Dahil)",sale,"True","0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20_i,tr_kdv_sale_20_i_wh_5","Tevkifatlı Satış KDV %20 (5/10) (Dahil)","Tevkifatlı Satış KDV %20 (5/10) (Dahil)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
"tr_kdv_sale_20_whg_7","110","Tevkifatlı Satış KDV %20 (7/10)","Tevkifatlı Satış KDV %20 (7/10)",sale,,"0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20,tr_kdv_sale_20_wh_7","Tevkifatlı Satış KDV %20 (7/10)","Tevkifatlı Satış KDV %20 (7/10)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
"tr_kdv_sale_20_i_whg_7","120","Tevkifatlı Satış KDV %20 (7/10) (Dahil)","Tevkifatlı Satış KDV %20 (7/10) (Dahil)",sale,"True","0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20_i,tr_kdv_sale_20_i_wh_7","Tevkifatlı Satış KDV %20 (7/10) (Dahil)","Tevkifatlı Satış KDV %20 (7/10) (Dahil)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
"tr_kdv_sale_20_whg_9","110","Tevkifatlı Satış KDV %20 (9/10)","Tevkifatlı Satış KDV %20 (9/10)",sale,,"0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20,tr_kdv_sale_20_wh_9","Tevkifatlı Satış KDV %20 (9/10)","Tevkifatlı Satış KDV %20 (9/10)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
"tr_kdv_sale_20_i_whg_9","120","Tevkifatlı Satış KDV %20 (9/10) (Dahil)","Tevkifatlı Satış KDV %20 (9/10) (Dahil)",sale,"True","0.0","group","tr_tax_group_K0020","base",,"base",,"tr_kdv_wh_20_i,tr_kdv_sale_20_i_wh_9","Tevkifatlı Satış KDV %20 (9/10) (Dahil)","Tevkifatlı Satış KDV %20 (9/10) (Dahil)"
,,,,,,,,,"tax",,,,,,
,,,,,,,,,,,"tax",,,,
